"","id","tweet"
"39",29009,"i really can't stress enough how great the new chairs on @alaskaair are.  comfortable, roomier with their slim form factor and usb ports!"
"302",29287,"oh my god i'm never flying @united again. you guys make southwest look like a luxury airline. ur seatz r 2 small we r not antz"
"332",29318,"#unitedsux @united united is the worst!!!  no flexibility on award mile usage. forcing me to  @delta for thanksgiving flights."
"442",29436,"@united 40 people waiting for 1617 to depart for phl for over three hours. plane finally arrived. no crew. hire more crew?"
"481",29476,"@deltaassist we paid for our flights but never received confirmation email with details. please can you assist?"
"539",29536,"@united and @americanair help my bag is lost and i have to sing this afternoon in a performance! please help!!!"
"540",29537,"@united and @americanair help my bag is lost and i have to sing this afternoon in a performance! please help!!!"
"546",29543,"@united waiting for chase.  all i wanted was to join.  rep said getting chase cc was better deal but now have to wait weeks.  was in hou"
"596",29596,"@southwestair nothing like dealing with a rude gate attendant when asking for assistance. if you're smart you'll reach out to me #overit"
"716",29722,"@southwestair rapid rewards transfer points function is not working on the website http://t.co/wgbbvvvtxs"
"829",29841,"@united here's a tip.the tag your bag system at sfo only works if you have staff.otherwise you just create a new way to annoy premier flyers"
"921",29935,"@acaltitude flying @united this weekend to #neworleans.  need @united to step up and offer economy plus to @staralliance gold members. #fail"
"930",29946,"@united the united clubs at ewr continue to be the worst in terms of amenities. please look at the other @staralliance partner lounges!!!"
"964",29982,"ummm, @united what happened at @flysfo today? premier check-in was horrible! but kudos to your staff for at least being patient."
"1048",30070,"what i'd like @united to be laser-focused on is that you're ranked ""worst airline in america"". http://t.co/hdwolpudjh http://t.co/ci4w3aoll3"
"1170",30198,"@united any chance i can get a response from someone over there? trying to switch to a flight that's 15 mins later and will save me $98/fl"
"1207",30238,"@united please hire more competent employees at your baggage counter at detroit metro. the service was horrendous."
"1219",30251,"when flying - babies are safest in car seats. so why does @united make this fit so miserable? #designmatters #baby http://t.co/r8e5yxlyzr"
"1234",30267,"@jetblue thanks.  had good luck so far - my kindle was waiting for me in the office at jfk."
"1400",30441,"i have been waiting for months for a refund from @americanair. status says ""refunded,"" money nowhere to be found."
"1420",30462,"@aircanada @alaskaair is way better to solve issues. now i want my money back, not a pre made answer. thank you."
"1424",30467,"drinking a commodore perry ipa at the airport before flight.  better beer and cheaper than the awful @united club.  glad i dropped that."
"1438",30481,"@delta kudos on flying to #turksandcaicos so glad im rid of @americanair #luggagepolicy #badcustomerservice âœˆï¸âœˆï¸"
"1533",30578,"@southwestair the crew of flight321 from phx to mdw stuck a landing in strong winds like an olympic gymnast going for gold."
